ID;sentimentScore;isMatch;text
8.89E+22;-1;1;Vorsprung durch Leckmich. #Kartell
8.57E+22;-1;1;Gefährlicher Relativismus zu linksextremer Gewalt von Links im #AgH #Berlin
9.02E+22;-1;1;Gauland will eine Deutsche mit türkischen Wurzeln  die Mitglied der Bundesregierung ist  entsorgen. Das nennt man Rassismus.
9.05E+22;-1;1;Estland: Sicherheitslücke in fast 750.000 ID-Cards https://t.co/PZEJyYUJQJ
9.05E+22;-1;1;Wenn Merkel die Migranten unbedingt will  kann sie sie doch in ihrem Garten unterbringen!#AfD #EuGH #TrauDichDeutschland
8.48E+22;-1;0.5;In Leipzig wurde auf das Linxxnet  Abgeordnetenbüro von @luna_le  geschossen. https://t.co/LLEeyIGIR4
8.37E+22;-1;0.5;@CDUFraktionRLP fordert  dass LReg + Haushaltsberatungen nach dem Gerichtsurteil #Haushalt verfassungswidrig nicht zur TO übergehen können
8.75E+22;-1;1;Schüsse auf Rettungseinsätze. Völkerrechtswidrige Rückführungen. Lebensgefährliche Manöver auf See. 
8.85E+22;-1;1;Wieder Anschläge auf zwei Politiker in #Neukölln: Neonazis zünden Autos an. https://t.co/YjX1msJAWI https://t.co/WG0t6ybL…
8.36E+22;-1;1;@EthicalFuture Andere nennen es Berufsausübung  Missachtung der Pressefreiheit und Verletzung von Rechten.
8.58E+22;-1;1;#AfD-Stadtrat Eberhard Brett Opfer brutaler linker Gewalt. #Krankenhaus #Stuttgart #Linksextremismus #Antifa https://t.c…
8.58E+21;-1;1;#Studiengebühren für Ausländer in Baden-Württemberg: Das ist grüne Arroganz pur! Und das in Zeiten rechter Hetze. Schämt Euch! #Bauer-Maut
9.05E+22;-1;1;Empörend: Merkel täuscht Zuschauer beim #TVDuell zum #Dieselskandal. Hier der Video-Beweis. https://t.co/ln41n7AVPl
8.83E+22;-1;1;June Tomiak wer #Hass sät wird Gewalt ernten.  Klares Bekenntnis zu politischer Gewalt durch #Gruene im #AgH #Berlin #G20
8.21E+22;-1;1;Das Wichtigste im Kampf gegen die extreme Rechte  Rassismus und Antisemitismus ist die Förderung von Demokratie und gelebter Antifaschismus!
8.74E+22;-1;1;Geplante #Grundrechtseingriffe der #Innenminister sind ebenso armselig wie bösartig @StatewatchEU https://t.co/6g2mp9zGOx
